DEBUG | [probe] Logging set to DEBUG; file=/Users/hayden/Developer/Currency-Exchange-Problems/logs/debug.log
DEBUG | relax u=1 -> v=4: -4.67559 -> -4.67879 pred[4]=1
DEBUG | relax u=3 -> v=1: -0.165513 -> -0.166513 pred[1]=3
DEBUG | relax u=4 -> v=0: 0.350325 -> 0.283058 pred[0]=4
DEBUG | relax u=4 -> v=1: -0.166513 -> -0.168927 pred[1]=4
DEBUG | relax u=4 -> v=2: -0.0701029 -> -0.0736171 pred[2]=4
DEBUG | relax u=0 -> v=1: -0.168927 -> -0.235736 pred[1]=0
DEBUG | relax u=0 -> v=2: -0.0736171 -> -0.135652 pred[2]=0
DEBUG | relax u=0 -> v=3: 0.432324 -> 0.364268 pred[3]=0
DEBUG | relax u=0 -> v=4: -4.67879 -> -4.74581 pred[4]=0
DEBUG | relax u=1 -> v=0: 0.283058 -> 0.280102 pred[0]=1
DEBUG | relax u=1 -> v=2: -0.135652 -> -0.140326 pred[2]=1
DEBUG | relax u=1 -> v=3: 0.364268 -> 0.362101 pred[3]=1
DEBUG | relax u=1 -> v=4: -4.74581 -> -4.74901 pred[4]=1
DEBUG | relax u=3 -> v=1: -0.235736 -> -0.236735 pred[1]=3
DEBUG | relax u=4 -> v=0: 0.280102 -> 0.212835 pred[0]=4
DEBUG | relax u=4 -> v=1: -0.236735 -> -0.23915 pred[1]=4
DEBUG | relax u=4 -> v=2: -0.140326 -> -0.14384 pred[2]=4
DEBUG | relax u=0 -> v=1: -0.23915 -> -0.305959 pred[1]=0
DEBUG | relax u=0 -> v=2: -0.14384 -> -0.205875 pred[2]=0
DEBUG | relax u=0 -> v=3: 0.362101 -> 0.294045 pred[3]=0
DEBUG | relax u=0 -> v=4: -4.74901 -> -4.81603 pred[4]=0
DEBUG | relax u=1 -> v=0: 0.212835 -> 0.209879 pred[0]=1
DEBUG | relax u=1 -> v=2: -0.205875 -> -0.210549 pred[2]=1
DEBUG | relax u=1 -> v=3: 0.294045 -> 0.291878 pred[3]=1
DEBUG | relax u=1 -> v=4: -4.81603 -> -4.81923 pred[4]=1
DEBUG | relax u=3 -> v=1: -0.305959 -> -0.306958 pred[1]=3
DEBUG | relax u=4 -> v=0: 0.209879 -> 0.142612 pred[0]=4
DEBUG | relax u=4 -> v=1: -0.306958 -> -0.309373 pred[1]=4
DEBUG | relax u=4 -> v=2: -0.210549 -> -0.214063 pred[2]=4
DEBUG | [probe] BF entered
DEBUG | relax u=3 -> v=0: 1e+300 -> -0.076961 pred[0]=3
DEBUG | relax u=3 -> v=1: 1e+300 -> -0.598837 pred[1]=3
DEBUG | relax u=3 -> v=2: 1e+300 -> -0.500775 pred[2]=3
DEBUG | relax u=3 -> v=4: 1e+300 -> -5.11036 pred[4]=3
DEBUG | relax u=4 -> v=0: -0.076961 -> -0.148515 pred[0]=4
DEBUG | relax u=4 -> v=1: -0.598837 -> -0.6005 pred[1]=4
DEBUG | relax u=4 -> v=2: -0.500775 -> -0.50519 pred[2]=4
DEBUG | relax u=0 -> v=1: -0.6005 -> -0.667309 pred[1]=0
DEBUG | relax u=0 -> v=2: -0.50519 -> -0.567225 pred[2]=0
DEBUG | relax u=0 -> v=3: 0 -> -0.0673048 pred[3]=0
